n_sensors,msg_p_s,p_extra,p_missing,p_wrong,avg_ips,avg_ops,avg_batch_duration,runId
1,100,0.0,0.0,0.0,95.57777823547723,108.3161570256116,24901.1,9b6a7d4f-806d-4f05-82be-f1c06e3922f6
1,100,0.0,0.0,0.0,94.9479767990068,103.54920539662825,24830.18181818182,89d057b7-4fc0-4ddf-a9fb-b7bc15a14530
1,100,0.0,0.0,0.0,95.61432128171768,108.12507947819518,24823.0,fa1563b7-cf94-461a-955b-9acde8a4f3fb
1,100,0.0,0.0,0.0,94.66148807598206,103.26317339428857,24964.545454545456,0fbbe03e-07ab-4ca5-a254-95f008b49082
10,100,0.0,0.0,0.0,116.40954540212532,90.03257482369834,19240.333333333332,9b6a7d4f-806d-4f05-82be-f1c06e3922f6
10,100,0.0,0.0,0.0,114.02071056317537,93.76712774465496,19633.133333333335,89d057b7-4fc0-4ddf-a9fb-b7bc15a14530
10,100,0.0,0.0,0.0,111.28533722414379,90.0968810742153,18981.133333333335,fa1563b7-cf94-461a-955b-9acde8a4f3fb
10,100,0.0,0.0,0.0,116.66312117540578,92.43910871249491,19896.0,0fbbe03e-07ab-4ca5-a254-95f008b49082
100,100,0.0,0.0,0.0,115.27630432435556,71.10054060822067,42140.857142857145,9b6a7d4f-806d-4f05-82be-f1c06e3922f6
100,100,0.0,0.0,0.0,84.55825768330527,77.3264812152951,47492.5,89d057b7-4fc0-4ddf-a9fb-b7bc15a14530
100,100,0.0,0.0,0.0,117.81625643859543,69.76011233541978,43119.666666666664,fa1563b7-cf94-461a-955b-9acde8a4f3fb
100,100,0.0,0.0,0.0,117.81599452297304,72.4949462471855,44979.5,0fbbe03e-07ab-4ca5-a254-95f008b49082
